order_id,customer_address,product_list,total_price,order_date
1,"123 Main St, New York, NY","Scarf, Wallet, Jeans, Hat, Jacket",1232.1,2022-07-27 12:25:25
2,"135 Aspen St, Miami, FL","Jacket, Sneakers, Belt",927.26,2022-09-08 05:32:34
3,"135 Aspen St, Miami, FL","Watch, Sunglasses",872.47,2022-05-29 02:36:21
4,"321 Elm St, Chicago, IL","Sunglasses, Wallet, Hat, Jacket",1100.03,2022-05-20 04:13:00
5,"654 Pine St, Boston, MA","Scarf, Sneakers",258.21,2022-03-08 22:10:07
6,"369 Redwood St, Portland, OR","Watch, Sneakers, Jeans",972.44,2022-01-27 09:56:13
7,"147 Cherry St, Philadelphia, PA","Wallet, T-shirt, Jacket, Jeans",887.3299999999999,2022-03-11 09:29:52
8,"321 Elm St, Chicago, IL",Jacket,236.05,2022-11-15 02:54:16
9,"864 Spruce St, Denver, CO","Jacket, Sunglasses, Scarf, Belt",433.28000000000003,2022-12-24 13:59:06
10,"246 Birch St, Seattle, WA","Sneakers, T-shirt, Hat, Wallet",973.0,2022-08-15 11:53:09
11,"321 Walnut St, Houston, TX","Scarf, Hat, Sneakers",330.07,2022-07-02 11:38:16
12,"798 Willow St, Atlanta, GA",Sunglasses,345.37,2023-02-08 23:04:50
13,"798 Willow St, Atlanta, GA","Wallet, T-shirt, Jacket",1101.33,2022-02-05 14:49:28
14,"456 Oak St, San Francisco, CA","Hat, Sneakers",525.54,2022-05-29 00:24:48
15,"789 Maple St, Los Angeles, CA","Hat, Sunglasses",532.89,2022-06-07 17:39:21
16,"321 Elm St, Chicago, IL","Sunglasses, Watch, Sneakers, Belt",10000,2022-02-01 06:17:08
17,"951 Palm St, Phoenix, AZ","Wallet, Belt, Sunglasses",483.34000000000003,2022-11-16 15:36:51
18,"456 Oak St, San Francisco, CA",Jeans,461.72,2022-10-22 15:29:10
19,"654 Pine St, Boston, MA","Watch, T-shirt",101.77,2023-01-19 03:59:33
20,"258 Hickory St, Dallas, TX","Hat, Sunglasses, Watch, Jeans",1606.6599999999999,2022-01-10 18:58:28
21,"987 Cedar St, Austin, TX","Jeans, Wallet, Jacket, Scarf",655.5,2022-10-18 20:15:58
22,"798 Willow St, Atlanta, GA","Jeans, T-shirt, Sunglasses, Belt, Watch",1456.75,2022-04-16 03:39:07
23,"321 Walnut St, Houston, TX","Jeans, Hat, Belt",570.28,2022-12-19 11:18:49
24,"951 Palm St, Phoenix, AZ","Belt, T-shirt, Sneakers, Watch",1161.47,2022-08-03 05:41:55
25,"987 Cedar St, Austin, TX","Hat, Jeans",763.75,2022-02-17 05:25:38
26,"147 Cherry St, Philadelphia, PA",Belt,91.65,2022-06-08 09:04:33
27,"258 Hickory St, Dallas, TX",T-shirt,384.41,2022-04-06 20:04:42
28,"864 Spruce St, Denver, CO","Hat, T-shirt, Sneakers, Sunglasses, Jeans",1077.74,2022-12-06 06:25:26
29,"654 Pine St, Boston, MA","T-shirt, Sneakers, Watch, Jacket, Wallet",197.57999999999998,2022-01-21 23:29:17
30,"456 Oak St, San Francisco, CA",Sunglasses,467.78,2023-03-05 01:01:18
31,"369 Redwood St, Portland, OR","Jacket, T-shirt, Watch",80.83000000000001,2023-02-12 21:45:52
32,"246 Birch St, Seattle, WA","Belt, Watch, Hat, Jacket, Sunglasses",1395.04,2023-02-22 20:15:29
33,"321 Elm St, Chicago, IL","Scarf, Jeans, T-shirt",788.29,2022-07-28 19:35:45
34,"147 Cherry St, Philadelphia, PA","Scarf, Jacket",744.34,2022-10-24 06:25:33
35,"321 Elm St, Chicago, IL",Watch,491.15,2022-07-06 06:34:30
36,"135 Aspen St, Miami, FL","Jeans, Scarf, Hat, Wallet",1075.35,2022-02-20 12:56:34
37,"864 Spruce St, Denver, CO","Wallet, Scarf, T-shirt, Jeans",641.6099999999999,2022-05-13 11:31:08
